rank_setor,codigo_base,nome,valor_total,quantidade_total
37,918940232,PALE BLUSH 5G SARAH'S,137.1,10
37,907206299,ENFEITE CABELO SORVETE,59.88,12
37,936157035,CILIOS DE SEDA 9-14 20P,55.47,3
37,912262909,CHOCOT BAUDUCCO,155.94,6
37,919069088,THE MONST COCACOLA,263.93,7
37,929931221,PRESILHA HALLOWEEN,71.92,8
37,921454236,PULSEIRA MIÇANGAS INF,101.56,19
37,908629698,FERVEDOR 14 POLIDO,59.97,3
38,935697485,FITA ARAMADA XADREZ,55.98,2
38,814230707,BOLSA TERMICA GX-400099,262.65,15
38,907206369,FORMA PARA GELO,136.62,18
38,941382453,TORRESMO GOURMET,71.44,10
38,940014920,KIT NAVALHA + ESPONJAS,55.92,8
38,23623117,OCULOS,99.96,4
38,943315064,BOLSA STAR TRANSP C/ALCA,149.95,5
38,960850815,ELASTICOS PARA CABELO,31.96,4
38,908354409,FITA BOPP 45MMX40M,55.16,9
38,914970096,PIRANHA DE CABELO,125.86,14
38,907206380,MINI POTE RET C/ 6 PÇS,63.92,8
38,23623113,OCULOS,41.98,2
38,908629689,BULE 12 POLIDO,55.98,2
39,943315023,OCULOS E LACO INF,55.15,5
39,907218978,MOTO BRINQUEDO,119.94999999999999,5
39,919069088,THE MONST COCACOLA,147.96,4
39,916190620,CABO P/DADOS KY-6011,97.42,8
39,936675013,CASC 138 LEDS CORAÇÃO,134.98,2
39,907206385,MINI POTE COM 4 PÇS,54.900000000000006,10
39,955639988,PT VD CAN 650ML C/COLHER,261.8,10
39,908629677,FORMA PIZZA 35 POLIDO,68.97,3
39,938346640,CONJUNTO TALHERES INOX,54.99,1
39,935697461,BOLA MISTA VM 6CM,29.98,2
39,908091138,CANECA INFANTIL,59.88,12
39,921454255,ESPONJA P/MAQUIAGEM,41.19,22
40,2098671,DELINEADOR CANET VIVAI,54.89,11
40,935697500,ENFEITE DE PENDURAR,68.32,8
40,936675004,CORDAO 100 LEDS VERDE,37.98,2
40,910807593,PERF WILD GIRL 30ML,259.95,5
40,916441668,GLOSS BELLA ANGEL,56.97,3
40,940014955,CANECA 250ML,47.97,3
40,908629701,FERVEDOR 12 POLIDO,47.97,3
